# npts = 3611
# number of variables = 27
density
temperature
ye
velx
pressure
entr
abar
enuc
n
H1
p
He3
He4
C12
N14
O16
Ne20
Mg24
Si28
S32
Ar36
Ca40
Ti44
Cr48
Fe52
Fe54
Ni56
                16836864845100      9.2697471384000005104e-08          117525.96997099999862         0.82182475020099998719         -599.81264102700004059          1873459.5687800000887          37.644227911100003325          1.3717824186300000555       1.150582432919999929e-26      1.0035163405300000949e-99         0.64375061803599997745      1.0035163405300000949e-99      1.9443153355799999672e-05         0.33618472812200000943        0.002053908026979999954       0.0040560526485299997629       0.0079386001383000004417       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5600063454699999474e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                16865738514300      9.2475071868999997672e-08          117394.96618200000376         0.82182475480899996878         -596.95388757600005647          1866425.3465499999002          37.643375444800000196          1.3717824056300000901      1.1478207764300000023e-26      1.0035163405300000949e-99         0.64375062725200005165      1.0035163405300000949e-99      1.9443154105800000063e-05         0.33618471888899997824       0.0020539081013100000082       0.0040560523636900000857       0.0079386003647300001917       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5600045155700000935e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                16897322018200      9.2214924825900002437e-08          117241.43034200000693         0.82182476021700001656         -593.73132779100001244           1858207.449329999974          37.642370729900001436          1.3717823903799999385      1.1445903937099999437e-26      1.0035163405300000949e-99         0.64375063806699994728      1.0035163405300000949e-99      1.9443154985800001561e-05         0.33618470805400002543       0.0020539081885299998939       0.0040560520294499998253       0.0079386006304300003877       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05       1.560002368280000087e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                16923893455600      9.1997586346700003293e-08           117112.8520370000042          0.8218247647519999477         -591.61453190099996391          1851348.6201899999287          37.641519930599997679          1.3717823775799999897      1.1418915920200000617e-26      1.0035163405300000949e-99         0.64375064713700003161      1.0035163405300000949e-99      1.9443155723800001485e-05         0.33618469896899999538       0.0020539082616700000267       0.0040560517491700000953        0.007938600853229999324       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05       1.560000567679999954e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                16952526817600      9.1794565816200001077e-08           116992.7083580000035         0.82182476899199996545         -588.47727273199996034           1844953.319989999989           37.64073120599999811          1.3717823656200001103      1.1393705872299999721e-26      1.0035163405300000949e-99         0.64375065561800004499      1.0035163405300000949e-99      1.9443156414000000961e-05         0.33618469047200000288       0.0020539083300700001003       0.0040560514870599997245       0.0079386010615900004517       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599988838199999866e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                16981368868500      9.1563490000600005142e-08          116855.68263999999908         0.82182477383499996648         -585.37915823100001944          1837681.3775899999309          37.639822608999999431          1.3717823519600000903      1.1365012107000000242e-26      1.0035163405300000949e-99         0.64375066530199998027      1.0035163405300000949e-99      1.9443157202000000008e-05         0.33618468077099999958       0.0020539084081700000918       0.0040560511877600000097       0.0079386012995100001255       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599969611299999832e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17011912742900      9.1327234681800003081e-08          116715.39628699999594         0.82182477879699999956         -581.79562651900005221          1830257.6192199999932          37.638889699800003541          1.3717823379600000422       1.133567522700000011e-26      1.0035163405300000949e-99         0.64375067522700002431      1.0035163405300000949e-99      1.9443158009699999962e-05         0.33618467082699998727       0.0020539084882099998934       0.0040560508810099996091       0.0079386015433599993463       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599949905200000393e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17039265480400      9.1110851550500003429e-08          116586.63502699999663         0.82182478335800002167          -579.0134847729999592          1823465.2861200000625          37.638023279300000468          1.3717823250900000875      1.1308806008499999446e-26      1.0035163405300000949e-99         0.64375068434899995751      1.0035163405300000949e-99      1.9443158751899999203e-05         0.33618466168900001945       0.0020539085617699999985       0.0040560505991200004189       0.0079386017674400004285       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599931796100000498e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17068766514600      9.0897231411899999858e-08          116459.43203900000663         0.82182478786799995074          -575.2438452059999463          1816771.0316699999385          37.637168778099997724          1.3717823123699999233      1.1282279922799999752e-26      1.0035163405300000949e-99         0.64375069336799994879      1.0035163405300000949e-99      1.9443159485800000521e-05         0.33618465265399999353       0.0020539086345099997859       0.0040560503203799997199       0.0079386019890199995691       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599913890000000026e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17099927710500      9.0651542066000002862e-08          116312.85357099999965         0.82182479307099998156         -571.18790935200001968          1809080.9867599999998          37.636173511099997313          1.3717822976900000409      1.1251771722200000607e-26      1.0035163405300000949e-99         0.64375070377300003255      1.0035163405300000949e-99      1.9443160332499999452e-05         0.33618464222999999702        0.002053908718430000075       0.0040560499988000001115        0.007938602244649999376       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599893232200000964e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17127754504500      9.0434147504799996793e-08          116182.88453300000401         0.82182479768899996397         -568.06761192700002994          1802284.1898300000466          37.635279423500001883          1.3717822846700000738      1.1224777039599999897e-26      1.0035163405300000949e-99         0.64375071301099995313      1.0035163405300000949e-99      1.9443161084199998357e-05         0.33618463297599998629       0.0020539087929200001807       0.0040560497133200002287       0.0079386024715899991544       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599874892799999978e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17156638915900      9.0228158265999999748e-08          116059.64076700000442         0.82182480207300001585         -564.14363443000002007          1795854.5005300000776          37.634430502599997226          1.3717822722999999385      1.1199198635900000118e-26      1.0035163405300000949e-99         0.64375072177799996798      1.0035163405300000949e-99      1.9443161797700000574e-05         0.33618462419200001445        0.002053908863630000102       0.0040560494423600001318       0.0079386026869900008091       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599857486700000477e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17183873526100      9.0018940524400004462e-08          115934.22181699999783         0.82182480654000000797         -560.69852985499994702          1789330.4248599999119          37.633554836899996587          1.3717822597000000062      1.1173219376300000145e-26      1.0035163405300000949e-99         0.64375073070999999647      1.0035163405300000949e-99      1.9443162524499998933e-05         0.33618461524400000684       0.0020539089356699999356       0.0040560491663100004325       0.0079386029064299999669       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599839753900000508e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17208143002900      8.9842836465100000954e-08          115828.51224799999909          0.8218248103070000532         -557.76646839099998942          1783845.2971300000791           37.63281049039999715          1.3717822490700000149      1.1151351982299999667e-26      1.0035163405300000949e-99         0.64375073824600004269      1.0035163405300000949e-99      1.9443163137700000776e-05         0.33618460769500002616       0.0020539089964400000787       0.0040560489334199997455       0.0079386030915599998387       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599824793699999209e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17233050604000      8.9667268822799993955e-08          115723.04156300000614         0.82182481406999996487         -554.17516716900001938          1778383.9107900001109          37.632064804599998808          1.3717822384600000252      1.1129551224000000189e-26      1.0035163405300000949e-99          0.6437507457700000213      1.0035163405300000949e-99       1.944316374999999962e-05         0.33618460015700002419       0.0020539090571200001659       0.0040560487008699996556       0.0079386032764099997289       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599809855699999243e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17256140353700       8.949246585590000338e-08          115617.85598399999435         0.82182481782500005352         -551.12334948600005191          1772950.8122600000352          37.631311608799997259          1.3717822278600000363      1.1107845444899999622e-26      1.0035163405300000949e-99         0.64375075328099995442      1.0035163405300000949e-99      1.9443164361200000821e-05         0.33618459263200001219       0.0020539091176999999498       0.0040560484687400004053       0.0079386034609400003836       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599794944299999004e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17276188702600       8.934992468050000141e-08          115531.98838700000488         0.82182482089399999658         -548.64454976299998634          1768524.7003500000574          37.630691731799998934          1.3717822192099999867      1.1090145723899999695e-26      1.0035163405300000949e-99          0.6437507594179999737      1.0035163405300000949e-99      1.9443164860600001341e-05         0.33618458648499999208       0.0020539091671900001554       0.0040560482790899998404       0.0079386036117000003537       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599782761999999911e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17301082731300      8.9176061674600001912e-08          115427.22730600000068         0.82182482463899997338         -544.22454886699995313           1763133.625950000016          37.629935212100001252          1.3717822086400000003      1.1068556711100000061e-26      1.0035163405300000949e-99         0.64375076690900001619      1.0035163405300000949e-99       1.944316547020000135e-05         0.33618457897999998174       0.0020539092276000000745       0.0040560480475699996206       0.0079386037957400006071       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599767890099999031e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17328385336900      8.8955921137599996618e-08          115294.31194499999401         0.82182482939699996738         -539.70484428300005675          1756313.4318800000474          37.628958909700003233          1.3717821952200000002      1.1041221337900000361e-26      1.0035163405300000949e-99         0.64375077642400002631      1.0035163405300000949e-99      1.9443166244400000706e-05         0.33618456944800001462       0.0020539093043399998459       0.0040560477535100001797       0.0079386040294999998118       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599749001099999676e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17358997096200      8.8721115839400000268e-08          115152.34626400000707          0.8218248344840000108         -534.42198194100001274          1749049.8023800000083          37.627904309000001604          1.3717821808699999231      1.1012065054000000393e-26      1.0035163405300000949e-99         0.64375078659700002426      1.0035163405300000949e-99      1.9443167072299998341e-05          0.3361845592559999929       0.0020539093863800000732       0.0040560474390899997274       0.0079386042794400007994       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05       1.559972880450000005e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17382776261000      8.8534416631800000106e-08          115039.17634299999918         0.82182483854400001366         -531.73567164799999318          1743278.4912600000389           37.62704448840000282          1.3717821694100000851      1.0988882243100000141e-26      1.0035163405300000949e-99         0.64375079471700002998      1.0035163405300000949e-99      1.9443167732999998504e-05         0.33618455112099998594       0.0020539094518700002148       0.0040560471881400002314        0.007938604478919999291       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599712684899999598e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17410540910400       8.835575479900000659e-08          114930.91363399999682         0.82182484242999997992         -526.61625579600001856          1737766.4791300001089          37.626224314700003504          1.3717821584500000665      1.0966697477600000716e-26      1.0035163405300000949e-99         0.64375080249000005139      1.0035163405300000949e-99      1.9443168365499998416e-05         0.33618454333499997455       0.0020539095145499998603       0.0040560469479299999032        0.007938604669880000575       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599697254999999677e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17435512454900      8.8158933566700005618e-08          114811.34070800000336         0.82182484672800004688         -522.97695925599998645          1731697.2832599999383          37.625297161500000698          1.3717821463299999518      1.0942257859799999709e-26      1.0035163405300000949e-99         0.64375081108400000751      1.0035163405300000949e-99      1.9443169064899998815e-05          0.3361845347249999838       0.0020539095838700001211       0.0040560466823199997632       0.0079386048810200001563       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05       1.559968019390000027e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17461702327800      8.7978311156100004861e-08          114701.54449299999396         0.82182485067699995174         -518.40801913500001774           1726136.250950000016          37.624440712400001985          1.3717821351899999183      1.0919829706599999406e-26      1.0035163405300000949e-99         0.64375081898200003927      1.0035163405300000949e-99      1.9443169707599999971e-05         0.33618452681299998419       0.0020539096475600000097       0.0040560464382299998148       0.0079386050750500005563       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599664515500000204e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17488485328200      8.7779486598900002975e-08          114580.48838999999862         0.82182485503500002366         -513.76734880000003614          1720021.1134800000582          37.623482834400000741          1.3717821228900000108      1.0895141399600000301e-26      1.0035163405300000949e-99         0.64375082769799996107      1.0035163405300000949e-99      1.9443170416899999484e-05         0.33618451807999999437       0.0020539097178600002058       0.0040560461688499997376       0.0079386052891899996919       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599647212499999268e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17512562362400       8.760322473999999687e-08          114472.99382699999842         0.82182485890900003334         -510.09378759899999523          1714605.3458100000862          37.622620568000002095          1.3717821119699999954      1.0873254762199999528e-26      1.0035163405300000949e-99         0.64375083544599998042      1.0035163405300000949e-99      1.9443171047300001432e-05         0.33618451031899998505       0.0020539097803400001123       0.0040560459294199996058       0.0079386054795199997164       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599631833200000404e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17539121650000      8.7421287162800005034e-08          114361.97265399999742         0.82182486291300005377         -505.02881774700000506           1709023.401610000059          37.621726415300003055          1.3717821006699999487      1.0850663393300000113e-26      1.0035163405300000949e-99          0.6437508434530000434      1.0035163405300000949e-99      1.9443171698900001381e-05         0.33618450229699997633       0.0020539098449199998803       0.0040560456819399995712       0.0079386056762500000622       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05       1.559961593740000094e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17565038643500      8.7226079481400003713e-08          114242.62403200000699         0.82182486722100001053         -500.55601331700000856          1703039.5117099999916          37.620751118900003007          1.3717820885200000536      1.0826424295600000368e-26      1.0035163405300000949e-99         0.64375085207000004583      1.0035163405300000949e-99      1.9443172400100001003e-05         0.33618449366499997266       0.0020539099144100000059       0.0040560454156300003448       0.0079386058879400006605       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599598831999999436e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17592165292700      8.7033933277500003016e-08          114125.02419100000407         0.82182487147000005123         -495.47128553099997816          1697157.6089399999473          37.619784005299997887          1.3717820765299999497      1.0802565377400000408e-26      1.0035163405300000949e-99         0.64375086056800001622      1.0035163405300000949e-99       1.944317309170000025e-05         0.33618448515100002316       0.0020539099829500000703       0.0040560451529900003187       0.0079386060967199991584       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599581962500000158e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17615167048500      8.6865416275399995311e-08           114021.6870110000018         0.82182487520799996084         -492.04423520400001735          1692003.1155499999877          37.618922982400000876          1.3717820659899999658      1.0781640539900000342e-26      1.0035163405300000949e-99         0.64375086804299996857      1.0035163405300000949e-99      1.9443173699900000487e-05         0.33618447766300002533       0.0020539100432299998121       0.0040560449219800001272       0.0079386062803599999338       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599567124399998992e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17639243846600      8.6708497030799998184e-08          113925.42487600000459         0.82182487869200004926         -487.42901346500002546          1687210.2169699999504          37.618120835600002749          1.3717820561600000406      1.0762155824300000106e-26      1.0035163405300000949e-99          0.6437508750110000344      1.0035163405300000949e-99      1.9443174266899999685e-05         0.33618447068200002503       0.0020539100994199999475       0.0040560447066399999555       0.0079386064515400006636       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05        1.55995532932000001e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17663848299300      8.6529893675500004242e-08           113815.6928740000003         0.82182488266700004509         -482.76281993899999634          1681759.8101900001056          37.617198336900003142          1.3717820449400000005      1.0739978612300000272e-26      1.0035163405300000949e-99         0.64375088296100002605      1.0035163405300000949e-99      1.9443174913800000158e-05         0.33618446271800001002       0.0020539101635400000556       0.0040560444609500003604       0.0079386066468499997401       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599537513000000666e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17692890010500      8.6322258951199993539e-08          113687.99917500000447         0.82182488729600000621         -476.46400864200001024          1675432.4925700000022          37.616121493100003192          1.3717820318800000301      1.0714196605900000532e-26      1.0035163405300000949e-99         0.64375089221899994829      1.0035163405300000949e-99      1.9443175667200000964e-05         0.33618445344300001976       0.0020539102382099998396       0.0040560441747999999643       0.0079386068743100002276       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599519133899999177e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17724089001800      8.6086558740400002532e-08          113542.74979000000167         0.82182489256799995392         -470.09840564699999277          1668258.2950500000734          37.614884218400000293            1.37178201700999991      1.0684929754900000226e-26      1.0035163405300000949e-99         0.64375090276299995473      1.0035163405300000949e-99      1.9443176525299999492e-05         0.33618444287999998954       0.0020539103232399998078       0.0040560438489400003903       0.0079386071333499997477       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599498204300000581e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17756349443100      8.5852363013899995939e-08          113398.18034900000202         0.82182489782199996675         -463.65373923700002479          1661140.4082400000188           37.61364532099999991           1.371782002190000016      1.0655849765100000472e-26      1.0035163405300000949e-99         0.64375091327000000252      1.0035163405300000949e-99      1.9443177380199999025e-05         0.33618443235399997349       0.0020539104079799999809       0.0040560435242300001829       0.0079386073914700008153       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599477349000000599e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17789123512000        8.56193520886999935e-08          113254.09584900000482           0.821824903064000023         -457.13298552800000607          1654068.9260599999689          37.612404391600001929          1.3717819873999999025        1.06269169409000005e-26      1.0035163405300000949e-99         0.64375092375300002612      1.0035163405300000949e-99      1.9443178233299999335e-05         0.33618442185199998162       0.0020539104925199999814       0.0040560432002400004237       0.0079386076490199995043       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599456540299999393e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17822137388900      8.5387516108999999316e-08          113110.49265200000082         0.82182490829400001164         -450.54001873999999361          1647043.3986800001003          37.611162667199998566          1.3717819726500000144      1.0598130057700000045e-26      1.0035163405300000949e-99          0.6437509342130000034      1.0035163405300000949e-99      1.9443179084499999712e-05         0.33618441137299998056       0.0020539105768799998698       0.0040560428769700002452        0.007938607905990000338       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599435777899999366e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17855254255200       8.515684535219999832e-08          112967.36716199999501          0.8218249135120000437         -443.87805254900001728          1640063.3823200000916           37.60992136309999978          1.3717819579299999067      1.0569487907599999705e-26      1.0035163405300000949e-99          0.6437509446500000454      1.0035163405300000949e-99      1.9443179933800000157e-05         0.33618440091800000369       0.0020539106610499998327       0.0040560425544199996475       0.0079386081623999994739       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599415061599999374e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17888405792300      8.4927330160400004786e-08           112824.7158150000032         0.82182491871899998603         -437.15097275400000854           1633128.438199999975          37.608681676099998015          1.3717819432400000235      1.0540989290699999645e-26      1.0035163405300000949e-99         0.64375095506299995218      1.0035163405300000949e-99      1.9443180781200000668e-05         0.33618439048499998423       0.0020539107450400001173       0.0040560422325799996845       0.0079386084182399997006       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599394391099999761e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17921557930500      8.4698961037199993393e-08           112682.5350860000035         0.82182492391499994966         -430.36169661399998176          1626238.1339100000914          37.607444780699999853          1.3717819285799999207       1.051263302729999945e-26      1.0035163405300000949e-99         0.64375096545400001258      1.0035163405300000949e-99      1.9443181626700001247e-05         0.33618438007500001108       0.0020539108288400000427       0.0040560419114399996754       0.0079386086735199999642       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599373766199999384e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17954693724200      8.4471728567500000746e-08          112540.82148400000005          0.8218249290989999567          -423.5140055850000067          1619392.0420999999624          37.606211832699997899          1.3717819139600000433      1.0484417947600000071e-26      1.0035163405300000949e-99         0.64375097582200002666      1.0035163405300000949e-99      1.9443182470499999925e-05         0.33618436968900000661        0.002053910912459999856       0.0040560415910100003009       0.0079386089282400002648       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599353186600000644e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                17987760769400      8.4245925156499995761e-08          112399.75957100000232         0.82182493426500002887         -416.62973600800000895          1612598.7956000000704          37.604985559100001069          1.3717818993799999472      1.0456380358400000163e-26      1.0035163405300000949e-99         0.64375098615399994895      1.0035163405300000949e-99      1.9443183311200000317e-05         0.33618435933800000504       0.0020539109957800000608       0.0040560412716999999852        0.007938609182070000686       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05       1.559933267939999995e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                18012537697900      8.4077733917699997266e-08          112294.44749299999967         0.82182493812599999305         -413.16983524300002273          1607543.0092700000387          37.604065521999999078          1.3717818884899999343      1.0435496395800000303e-26      1.0035163405300000949e-99         0.64375099387599998835      1.0035163405300000949e-99      1.9443183939600001622e-05         0.33618435160199999778       0.0020539110580599997946       0.0040560410330500000498        0.007938609371769999451       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599317353000000881e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
                18041400771100      8.3909753736700002857e-08          112189.30614600000263         0.82182494198300004573         -406.20958273799999461          1602503.2879000001121          37.603160543699999607          1.3717818776099999223      1.0414638665099999485e-26      1.0035163405300000949e-99          0.6437510015890000048      1.0035163405300000949e-99      1.9443184567200000638e-05         0.33618434387500001348       0.0020539111202600001532       0.0040560407946700002824       0.0079386095612700002117       0.0021288213024800001737      0.00081081192470599996319      0.00089476020801399999173      0.00044591876249999999778      8.8048009653300004476e-05      7.8728240015199998383e-05      1.5599302043199999953e-68      1.0035163405300000949e-99      1.0035163405300000949e-99      8.9681194949700002985e-05       0.0014598802325300000177
