# npts = 3611
# number of variables = 27
density
temperature
ye
velx
pressure
entr
abar
enuc
n
H1
p
He3
He4
C12
N14
O16
Ne20
Mg24
Si28
S32
Ar36
Ca40
Ti44
Cr48
Fe52
Fe54
Ni56
         18892715.880899999291          1595586083.6600000858          6488433544.3699998856         0.46370943713800000241         -3484.8599630099997739      8.9293735299400002242e+26         0.86885339466199995595          52.697778049100001851           -1566187288960000000       0.0010124051874500000422                              0      9.2538092407399998324e-08                              0      0.00053660764974000000997      3.0416306593299998485e-09                              0      6.9012802222299996495e-10      2.1279421186199998926e-12      2.4830818294299999008e-11      9.9512928341600007619e-10      1.6058287537400000912e-10        1.87444121636000001e-11      3.8049548416000000961e-12      3.2272623973299997922e-14      3.1459188091700000245e-14      3.0404031120999999664e-14      3.0163831596200002045e-06          0.9984478733045062393
         19978039.986400000751          1575511542.6500000954          6478533297.2899999619          0.4637239531880000265         -3719.3368933800002196      8.7839842588899995965e+26         0.87029227823400001629          52.766717781099998774             745832777752000000      0.00098769612811800007977                              0      9.2959969453399994507e-08                              0      0.00053434639107600003047      2.9868590824800001787e-09                              0      6.7939785504400002152e-10      2.0839970020400001479e-12      2.4517136852700001204e-11      9.9228257044400003227e-10      1.6053644381500000707e-10      1.8766053962899999845e-11      3.8241673423499997746e-12      3.2377487504500001345e-14      3.1795978168999999631e-14      3.1005952093199998573e-14      3.0599995845799999915e-06         0.99847479965243679523
         20964171.056400001049          1552507919.2000000477          6467004343.4099998474         0.46374043842099998969         -3875.5548113899999407       8.618068751289999331e+26         0.87197336560799998395          52.845347915099999625           -1971727246409999872      0.00095962009006199996269                              0      9.3427883684499997395e-08                              0      0.00053165813504900004318      2.9237276760299997956e-09                              0      6.6698796012200004187e-10       2.033591266880000046e-12      2.4153050921299999804e-11      9.8884981993899995552e-10      1.6045954371100000208e-10      1.8788104986300000782e-11      3.8458743775100001535e-12      3.2491250235500000872e-14      3.2182326348400001482e-14      3.1709912216100002409e-14       3.111050842949999899e-06         0.99850551250702734851
         21887225.586699999869          1533595088.1800000668          6457369519.0699996948         0.46375387005699997278         -4026.9784318900001381       8.482211776480000072e+26         0.87338131512299999049          52.909732848799997385           -1410855330390000128      0.00093671624590700003875                              0      9.3798372251699999365e-08                              0      0.00052936306893400003528      2.8714893987800001984e-09                              0      6.5668426417499996554e-10      1.9920856986900001509e-12       2.384967546099999845e-11      9.8587872961799996932e-10      1.6037556784600000514e-10      1.8803829071499998628e-11      3.8634375164400003218e-12      3.2579206097700002896e-14      3.2499976833100002271e-14      3.2300188076900000211e-14       3.153910621510000105e-06         0.99853066825265790474
         22753263.273400001228          1515129457.0899999142          6447863985.1499996185         0.46376682590800000217         -4169.3875496999999086      8.3500659737000003923e+26         0.87478496197199995255          52.971970674200001383            -676113269492999936      0.00091464357590000002884                              0      9.4155100679100000407e-08                              0      0.00052708868955099995052      2.8206057338700001126e-09                              0      6.4661815753600003598e-10      1.9517788810200001184e-12      2.3552116066000000055e-11      9.8288637510200004128e-10       1.602789725850000064e-10      1.8817312045200000447e-11      3.8803248983100003067e-12      3.2660468182199998086e-14      3.2809775814300000728e-14      3.2885851317699998593e-14      3.1964529365699999907e-06         0.99855497246799829192
         23380219.596200000495          1501808927.8299999237          6440891163.6999998093         0.46377614120999999248          -4237.648968600000444      8.2550316029799996264e+26         0.87580789427299998717          53.016986221700001636            -576687572758000000      0.00089872901515100005014                              0      9.4398455101600005986e-08                              0      0.00052537122118900001291      2.7834534486900000636e-09                              0       6.392476968179999973e-10      1.9224941063499999643e-12      2.3333765485499999723e-11      9.8061321706700000398e-10      1.6019426567699999275e-10      1.8825398243799999326e-11       3.892323053110000247e-12      3.2715455908200000125e-14      3.3033099134499998308e-14      3.3315156256500002309e-14      3.2277084781100000131e-06         0.99857257304538871168
         24089236.529899999499          1488179411.7400000095                     6433682507         0.46378560914700001083          -4376.838195999999698      8.1580561636000002101e+26          0.8768678669560000527          53.062877319700000101            1220341919540000000      0.00088254409832800001078                              0      9.4640449519199995362e-08                              0      0.00052357519627399995606      2.7453301963200001498e-09                              0      6.3166702441599997633e-10      1.8925327868800000684e-12      2.3108597719199999177e-11      9.7821363001799998276e-10      1.6009685234700000544e-10      1.8832393364899999332e-11      3.9044280214699996935e-12      3.2768723856200001614e-14      3.3261202054500001627e-14      3.3759770360399999666e-14      3.2601197757399999353e-06         0.99859052138222914596
         24841094.976100001484          1469798893.2699999809          6423828610.5200004578         0.46379828941299999778         -4516.6224325100001806      8.0276982402300003556e+26         0.87831747135399995674          53.124590771100002939             -87823333534000000      0.00086084351158100002634                              0      9.4952827843999997974e-08                              0      0.00052107820184800002564      2.6936434967899999997e-09                              0      6.2136002994299995805e-10      1.8520678261000001266e-12       2.280152792120000062e-11      9.7484405276599990821e-10      1.5994641150699999058e-10      1.8839598654900000497e-11      3.9204563235000003879e-12       3.283541521129999768e-14      3.3568030145700000119e-14       3.436822036930000241e-14      3.3045618987700001131e-06           0.998614674274839631
          25595687.54149999842          1451558807.1400001049          6413904715.1499996185         0.46381076072700000434         -4649.7923908800003119      7.8988210111399999726e+26         0.87978062699100001431          53.185548201700001414             524208059921000000      0.00083948075626300001049                              0      9.5247951621700002837e-08                              0      0.00051852213359199997734      2.6421305923700000443e-09                              0      6.1105392278300001858e-10      1.8119056109599999202e-12      2.2493355622199998969e-11      9.7135279845400008049e-10      1.5977551949600000483e-10      1.8844179539400000667e-11      3.9360041273000000771e-12      3.2895600619300000141e-14      3.3871358362800001951e-14      3.4981970465799997111e-14      3.3494956039400000086e-06         0.99863854793471018567
         26335339.588599998504          1433908181.2000000477          6404140863.8900003433         0.46382274232600001485          -4777.189214990000437      7.7745665055999999282e+26         0.88121770503399998731          53.244422337000003154             -69880997109400000      0.00081891967706400000965                              0      9.5514675479200000309e-08                              0      0.00051595268064900002159      2.5919035131800001558e-09                              0      6.0097102088399999869e-10      1.7729248135000000023e-12      2.2190805739499999933e-11      9.6780609746799992617e-10      1.5958608429700000308e-10      1.8845816890699999077e-11       3.950661162699999908e-12      3.2947468815299997422e-14      3.4163425433900001988e-14      3.5585620328299999361e-14      3.3938282125999998868e-06         0.99866163393209084198
